Nom,Domaine,Périodicité,Mois,Coordonnees,Commune,Region,Code postal,Creation
Festival international d’art lyrique d’aix-en-provence,Musique,Annuelle,Juillet,"43.5360708378,5.39857444582",Aix En Provence,Provence-Alpes-Côte d'Azur,13290,1948
Jazz en sol mineur,Musique,Annuelle,Juillet,"43.4262029745,5.54685109195",Greasque,Provence-Alpes-Côte d'Azur,13850,2003
Jazz a couches,Musique,Annuelle,Juillet,"46.869155076,4.56431598435",Couches,Bourgogne-Franche-Comté,71490,1987
Décibulles,Musique,Annuelle,Juillet,"48.3261151153,7.31059686746",Neuve Eglise,Grand Est,67220,1992
Les jeudis live,Musique,Annuelle,Juillet,"43.4574625431,6.84734210398",St Raphael,Provence-Alpes-Côte d'Azur,83700,2018
Le reve de l'aborigene,Musique,Annuelle,Juillet,"46.8329725103,-0.135880248296",Airvault,Nouvelle-Aquitaine,79600,2002
Estivada rodez,Musique,Annuelle,Juillet,"44.3582426254,2.5672793892",Rodez,Occitanie,12000,1995
Août musical de deauville,Musique,Annuelle,Juillet,"49.3543800887,0.0744665786308",Deauville,Normandie,14800,2002
Festi'vaux,Musique,Annuelle,Aout,"45.6448017664,-1.05853577703",Vaux Sur Mer,Nouvelle-Aquitaine,17640,2003
Graines d'automne,Musique,Annuelle,Octobre,"47.5728858483,-1.60097664616",Nozay,Pays de la Loire,44170,1996
Festival les royal's du rire,Théâtre,Annuelle,Novembre,"43.5380510468,6.91808936542",Mandelieu La Napoule,Provence-Alpes-Côte d'Azur,06210,2013
Biennale d’architecture d’orléans,Divers,Biennale,Octobre,"47.8828634214,1.91610357477",Orleans,Centre-Val de Loire,45100,2017
Monte le son,Musique,Annuelle,Novembre,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,
Rhino jazz(s) festival,Musique,Annuelle,Octobre,"45.4698319517,4.50184989506",St Chamond,Auvergne-Rhône-Alpes,42400,1979
Jazz & garonne,Musique,Annuelle,Octobre,"44.5055176845,0.172174280849",Marmande,Nouvelle-Aquitaine,47200,2011
Les indisciplinees,Musique,Annuelle,Octobre,"47.7500486947,-3.37823200917",Lorient,Bretagne,56100,2006
"Fim, festival itinérant de marionnettes",Théâtre,Annuelle,Octobre,"50.4735638651,3.56606734565",Vieux Conde,Hauts-de-France,59690,
Entente nocturne festival,Musique,Annuelle,Octobre,"48.7882828307,2.39412680533",Vitry Sur Seine,Île-de-France,94400,2018
Ecouter pour l'instant,Musique,Annuelle,Octobre,"44.9151488173,0.532361895474",Queyssac,Nouvelle-Aquitaine,24140,2007
Enfantaisies,Théâtre,Annuelle,Octobre,"46.6675261644,-1.4077954093",La Roche Sur Yon,Pays de la Loire,85000,1986
Concerts d'automne,Musique,Annuelle,Octobre,"47.3986382281,0.696526376417",Tours,Centre-Val de Loire,37000,2016
Festival jean carmet,Cinéma,Annuelle,Octobre,"46.5624641056,3.32662040221",Moulins,Auvergne-Rhône-Alpes,03000,1996
Grands zyeux ptites zoreilles,Divers,Annuelle,Octobre,"43.3475883319,3.23076754164",Beziers,Occitanie,34500,2012
Festival d'humour de colmar,Théâtre,Annuelle,Octobre,"48.1099405789,7.38468690323",Colmar,Grand Est,68000,2013
Soirees d'automne,Théâtre,Annuelle,Novembre,"44.1547724058,5.09918948911",Le Barroux,Provence-Alpes-Côte d'Azur,84330,2010
Ugine city rock,Musique,Annuelle,Septembre,"45.7718876928,6.43266345275",Ugine,Auvergne-Rhône-Alpes,73400,1999
Gamerz,Arts visuels,Annuelle,Novembre,"43.5360708378,5.39857444582",Aix En Provence,Provence-Alpes-Côte d'Azur,13290,2005
Festival de lanvellec,Musique,Annuelle,Septembre,"48.6072769742,-3.52795086821",Lanvellec,Bretagne,22420,
¡ viva villa !,Divers,Annuelle,Septembre,"43.2999009436,5.38227869795",Marseille,Provence-Alpes-Côte d'Azur,13001,2017
Gaffer festival,Musique,Annuelle,Septembre,"45.7699284397,4.82922464978",Lyon,Auvergne-Rhône-Alpes,69001,2011
Brass open de lesquin - rencontre europenne de cuivres,Musique,Annuelle,Septembre,"50.5892285666,3.11191934713",Lesquin,Hauts-de-France,59810,
Celtes en ouche,Musique,Annuelle,Novembre,"48.9547259686,0.93199579313",Conches En Ouche,Normandie,27190,2011
