Nom,Domaine,Périodicité,Mois,Coordonnees,Commune,Region,Code postal,Creation
Les guinguettes de l'auzon,Musique,Annuelle,Aout,"44.0593802565,5.06134844776",Carpentras,Provence-Alpes-Côte d'Azur,84200,2015
Enfermes dehors encore,Musique,Annuelle,Juin,"46.0202394723,2.28670592425",Champagnat,Nouvelle-Aquitaine,23190,2017
1001 bass music festival,Musique,Annuelle,Octobre,"45.4301235512,4.37913997076",St Etienne,Auvergne-Rhône-Alpes,42100,2012
Ritournelles,Livre,Annuelle,Novembre,"44.8572445351,-0.57369678116",Bordeaux,Nouvelle-Aquitaine,33000,2000
Mirr festival,Musique,Annuelle,Novembre,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,
A tempo,Musique,Annuelle,Octobre,"43.6895628711,1.79437213708",Lavaur,Occitanie,81500,2010
Fertois rock in fest,Musique,Annuelle,Septembre,"48.9540164057,3.12762174384",La Ferté Sous Jouarre,Île-de-France,77260,
Heaven's door,Musique,Annuelle,Octobre,"48.5790053064,7.68216295597",Eckbolsheim,Grand Est,67201,2009
Un festival c’est trop court – festival du court métrage de nice,Cinéma,Annuelle,Octobre,"43.7119992661,7.23826889465",Nice,Provence-Alpes-Côte d'Azur,06100,2001
Pianoscope,Musique,Annuelle,Octobre,"49.4365523321,2.08616123661",Beauvais,Hauts-de-France,60000,2006
Crashmusette,Musique,Annuelle,Octobre,"44.8015403943,4.78018830634",La Voulte Sur Rhone,Auvergne-Rhône-Alpes,07800,2014
Festiv jazz a chabeuil,Musique,Annuelle,Novembre,"44.9082255842,5.00743034189",Chabeuil,Auvergne-Rhône-Alpes,26120,2012
Ballades en novembre,Musique,Annuelle,Novembre,"49.1231107932,2.37799676025",Viarmes,Île-de-France,95270,2002
Sulfurock,Musique,Annuelle,Septembre,"44.9084140601,-0.525868280903",Bassens,Nouvelle-Aquitaine,33530,2010
Meltin'art,Musique,Annuelle,Novembre,"43.2999009436,5.38227869795",Marseille,Provence-Alpes-Côte d'Azur,13001,2016
"Festival européen des artistes de cirque, saint-paul-lès-dax",Théâtre,Annuelle,Novembre,"43.7464083139,-1.08127980711",St Paul Les Dax,Nouvelle-Aquitaine,40990,
Le chant des pierres,Théâtre,Annuelle,Septembre,"45.8746263893,4.68243695399",St Jean Des Vignes,Auvergne-Rhône-Alpes,69380,2008
Voix du rock (couhé),Musique,Annuelle,Mai,"46.2960515844,0.179497066899",Couhe,Nouvelle-Aquitaine,86700,2016
June events,Danse,Annuelle,Juin,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,
Fatche de - festival du rire de marseille,Théâtre,Annuelle,Juin,"43.2999009436,5.38227869795",Marseille,Provence-Alpes-Côte d'Azur,13001,2017
Ostreoid fest,Musique,Annuelle,Juin,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,
Festival du film d’aventure,Cinéma,Annuelle,Mai,"-20.9329708192,55.446867167",St Denis,La Réunion,97400,2005
Parlemonde,Divers,Annuelle,Mai,"47.5155169816,6.79148147353",Montbeliard,Bourgogne-Franche-Comté,25200,2018
La magnifique society,Musique,Annuelle,Juin,"49.2514906066,4.0402302322",Reims,Grand Est,51100,2017
Rues et cies,Théâtre,Annuelle,Juin,"48.1631202656,6.47989286928",Epinal,Grand Est,88000,1984
Saint-etienne live by paroles et musiques,Musique,Annuelle,Juin,"45.4301235512,4.37913997076",St Etienne,Auvergne-Rhône-Alpes,42100,1992
"¡ rio loco ! garonne, le festival",Musique,Annuelle,Juin,"43.5963814303,1.43167293364",Toulouse,Occitanie,31300,1995
Quand je pense a fernande,Musique,Annuelle,Juin,"43.3917705831,3.64705148296",Sete,Occitanie,34200,2002
Festival des abbayes en lorraine,Musique,Annuelle,Juin,"48.4194366522,6.99291726168",La Petite Raon,Grand Est,88210,
Pavillons jazz festival,Musique,Annuelle,Mai,"48.9082060253,2.50297448267",Les Pavillons Sous Bois,Île-de-France,93320,2006
Wolfi jazz,Musique,Annuelle,Juin,"48.5869426788,7.66313638698",Wolfisheim,Grand Est,67202,2010
Europavox,Musique,Annuelle,Juin,"45.7856492991,3.11554542903",Clermont Ferrand,Auvergne-Rhône-Alpes,63100,2006
Les art'zimutés,Divers,Annuelle,Juin,"49.633412156,-1.63390160204",Cherbourg En Cotentin,Normandie,50100,1999
Festival du monastier la musique des cuivres,Musique,Annuelle,Aout,"44.9345419113,4.00710354299",Le Monastier Sur Gazeille,Auvergne-Rhône-Alpes,43150,1989
Festival de rocamadour,Musique,Annuelle,Aout,"44.8148525753,1.62220346544",Rocamadour,Occitanie,46500,
Festiberges,Musique,Annuelle,Juillet,"43.9007200249,3.75901045062",St Bauzille De Putois,Occitanie,34190,2005
Casteljaloux jazz à table festival,Musique,Annuelle,Juillet,"44.3114746788,0.0845386197153",Casteljaloux,Nouvelle-Aquitaine,47700,
Falz'art,Musique,Annuelle,Septembre,"47.9326007256,2.16025043268",Fay Aux Loges,Centre-Val de Loire,45450,2012
La poule des champs,Musique,Annuelle,Septembre,"49.1972757573,4.41096827282",Auberive,Grand Est,51600,2006
Voyages en guitare,Musique,Annuelle,Septembre,"47.1723001595,0.245084664558",Chinon,Centre-Val de Loire,37500,2011
Automne musical de taverny,Musique,Annuelle,Septembre,"49.0267316203,2.22116067166",Taverny,Île-de-France,95150,1983
Les debroussailleuses,Musique,Annuelle,Septembre,"47.1227107975,-0.801475622875",Trementines,Pays de la Loire,49340,2017
Festivini,Divers,Annuelle,Septembre,"47.2673853525,-0.0830410591988",Saumur,Pays de la Loire,49400,2010
Rock en plaine,Musique,Annuelle,Aout,"47.0372879565,3.14354311851",Varennes Vauzelles,Bourgogne-Franche-Comté,58640,2010
Festival du film francophone d'angoulême,Cinéma,Annuelle,Aout,"45.6472585146,0.14514490683",Angouleme,Nouvelle-Aquitaine,16000,2008
Argelliers jazz estival,Musique,Annuelle,Juillet,"43.7249523063,3.67420720253",Argelliers,Occitanie,34380,2017
Biennale d'art contemporain chemin d'art,Arts visuels,Biennale,Juillet,"45.0278919825,3.08320563232",St Flour,Auvergne-Rhône-Alpes,15100,
Jazz a la grange,Musique,Annuelle,Decembre,"46.3924102379,6.58612507528",Evian Les Bains,Auvergne-Rhône-Alpes,74500,2016
Foins d'hiver,Musique,Annuelle,Novembre,"48.0608565468,-0.766005687142",Laval,Pays de la Loire,53000,2004
Beaune blues boogie festival,Musique,Annuelle,Novembre,"47.0255189366,4.83767985985",Beaune,Bourgogne-Franche-Comté,21200,2006
Quand on conte,Théâtre,Annuelle,Mars,"46.5839207726,0.359947653003",Nouaille Maupertuis,Nouvelle-Aquitaine,86000,1998
Free sons divers,Musique,Annuelle,Mars,"46.8666125813,-1.02216086186",Les Herbiers,Pays de la Loire,85500,2003
Garorock,Musique,Annuelle,Juin,"44.5055176845,0.172174280849",Marmande,Nouvelle-Aquitaine,47200,1997
Contentpourien,Théâtre,Annuelle,Juin,"48.9747939435,1.71205571778",Mantes La Ville,Île-de-France,78711,
Renc'arts de rue,Théâtre,Annuelle,Juin,"45.3962642718,5.4186427969",Le Grand Lemps,Auvergne-Rhône-Alpes,38690,2013
Convivencia,Musique,Annuelle,Juin,"43.4656037799,1.99689394052",Revel,Occitanie,31250,1991
Macki music festival,Musique,Annuelle,Juin,"48.9119335064,2.17838235323",Carrieres Sur Seine,Île-de-France,78420,2014
O les chœurs brive,Musique,Annuelle,Septembre,"45.1435830664,1.51936836063",Brive La Gaillarde,Nouvelle-Aquitaine,19100,1997
Festival international d’art sacré d’antibes,Musique,Annuelle,Septembre,"43.587465146,7.10635418256",Antibes,Provence-Alpes-Côte d'Azur,06160,
Rock fort fest,Musique,Annuelle,Septembre,"48.5900970896,6.08780771245",Bainville Sur Madon,Grand Est,54550,2016
Salon international du livre océanien,Livre,Annuelle,Septembre,"-17.552056,-149.55886",Papeete,Polynésie française,98714,2003
Ze fiestival,Musique,Annuelle,Septembre,"44.640273082,4.88311372596",Marsanne,Auvergne-Rhône-Alpes,26740,2011
Attention les feuilles !,Musique,Annuelle,Octobre,"45.9184414725,6.09688746113",Meythet,Auvergne-Rhône-Alpes,74960,2001
Rencontres de films en bretagne – saint-quay-portrieux,Cinéma,Annuelle,Octobre,"48.6542475006,-2.84382337656",St Quay Portrieux,Bretagne,22410,2002
Fès jazz in riad festival,Musique,Annuelle,Septembre,"48.7904544648,1.90784227893",Jouars Pontchartrain,Île-de-France,78760,
Festival lumière,Cinéma,Annuelle,Octobre,"45.7699284397,4.82922464978",Lyon,Auvergne-Rhône-Alpes,69001,2009
Marmaille,Théâtre,Annuelle,Octobre,"48.1119791219,-1.68186449144",Rennes,Bretagne,35700,1993
Automne musical du vesinet,Musique,Annuelle,Octobre,"48.8938640591,2.13039312004",Le Vesinet,Île-de-France,78110,2015
Rade side,Musique,Annuelle,Octobre,"43.1361589728,5.93239634249",Toulon,Provence-Alpes-Côte d'Azur,83200,2015
Festival bar - blues d'automne en rabelaisie,Musique,Annuelle,Octobre,"47.1939476684,0.186243013287",Beaumont En Veron,Centre-Val de Loire,37420,2015
Dernier cri,Divers,Annuelle,Octobre,"43.6134409138,3.86851657896",Montpellier,Occitanie,34080,2015
Festival yaouank,Musique,Annuelle,Novembre,"48.1119791219,-1.68186449144",Rennes,Bretagne,35700,1999
Rencontres chorégraphiques de seine-saint-denis,Danse,Annuelle,Mai,"48.9295650455,2.3592429975",St Denis,Île-de-France,93200,
Festival époque,Livre,Annuelle,Mai,"49.1847936737,-0.369801713036",Caen,Normandie,14000,2015
Festival hip hop évolution,Danse,Biennale,Mars,"-12.7232292527,45.1181212208",Bandraboua,Mayotte,97650,
Grand unisson,Musique,Annuelle,Juin,"47.9116141172,1.87108144709",St Jean De La Ruelle,Centre-Val de Loire,45140,1990
Jazz & blues a chancelade,Musique,Annuelle,Juin,"45.2100121087,0.655273444534",Chancelade,Nouvelle-Aquitaine,24650,2006
Couleurs du monde,Musique,Annuelle,Mai,"48.1318811919,-3.48128235286",Langonnet,Bretagne,56630,2009
Fougeres musicales,Musique,Annuelle,Mai,"48.3524697115,-1.19431177241",Fougeres,Bretagne,35300,2014
Écho à venir,Musique,Annuelle,Juin,"44.8572445351,-0.57369678116",Bordeaux,Nouvelle-Aquitaine,33000,2012
Festi'val en seine,Musique,Annuelle,Juin,"48.3867865582,2.81899706389",St Mammes,Île-de-France,77670,
Paris l'été,Théâtre,Annuelle,Juillet,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2017
Jazz à juan,Musique,Annuelle,Juillet,"43.587465146,7.10635418256",Juan Les Pins,Provence-Alpes-Côte d'Azur,06160,1960
Electrobeach,Musique,Annuelle,Juillet,"42.8127710984,3.02834125149",Port Barcares,Occitanie,66420,2009
Festival jazz a berne,Musique,Annuelle,Juillet,"43.4814630298,6.35892744946",Lorgues,Provence-Alpes-Côte d'Azur,83510,2006
Chauffer dans la noirceur,Musique,Annuelle,Juillet,"48.9910212765,-1.52994382531",Montmartin Sur Mer,Normandie,50590,1993
Rock and roll circus festival,Musique,Annuelle,Juillet,"44.4251092866,0.742526167632",Villeneuve Sur Lot,Nouvelle-Aquitaine,47300,
Cooksound festival,Musique,Annuelle,Juillet,"43.9599082374,5.7882827572",Forcalquier,Provence-Alpes-Côte d'Azur,04300,2011
Musique sacree et orgue en avignon,Musique,Annuelle,Juillet,"43.9352448339,4.84071572505",Avignon,Provence-Alpes-Côte d'Azur,84140,
Chausse tes tongs,Musique,Biennale,Aout,"48.8121355763,-3.34499178706",Trevou Treguignec,Bretagne,22660,2005
Les cordes en ballade,Musique,Annuelle,Juillet,"44.4834547319,4.66986126314",Viviers,Auvergne-Rhône-Alpes,07220,1999
Beauregard,Musique,Annuelle,Juillet,"49.2073560619,-0.331022626025",Herouville St Clair,Normandie,14200,2009
Festival voies off,Arts visuels,Annuelle,Juillet,"43.5468692378,4.66215642574",Arles,Provence-Alpes-Côte d'Azur,13123,1996
Le chien a plumes,Musique,Annuelle,Aout,"47.6892296711,5.35283846982",Dommarien,Grand Est,52190,1997
Electrobotik invasion,Musique,Annuelle,Aout,"44.1622496736,4.62477380854",Bagnols Sur Ceze,Occitanie,30200,2008
Les escales du cargo,Musique,Annuelle,Juillet,"43.5468692378,4.66215642574",Arles,Provence-Alpes-Côte d'Azur,13123,2005
Jazz à brignoles,Musique,Annuelle,Juillet,"43.3992941902,6.07740244296",Brignoles,Provence-Alpes-Côte d'Azur,83170,1989
Festival du comminges,Musique,Annuelle,Juillet,"43.1199260811,0.726613564199",Saint Gaudens,Occitanie,31800,
Fest-jazz de châteauneuf du faou,Musique,Annuelle,Juillet,"48.1889732859,-3.82126129764",Chateauneuf Du Faou,Bretagne,29520,
Festival du rire de gravelines,Théâtre,Annuelle,Novembre,"50.9975626638,2.14413046485",Gravelines,Hauts-de-France,59820,2003
La mer est loin,Livre,Annuelle,Novembre,"46.4563186117,-0.793449510859",Fontenay Le Comte,Pays de la Loire,85200,2015
Aurores montreal,Musique,Annuelle,Decembre,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2013
Wknd hiphop,Musique,Annuelle,Decembre,"43.5963814303,1.43167293364",Toulouse,Occitanie,31300,2017
Freestyle,Danse,Annuelle,Decembre,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2015
Orchestres en fete,Musique,Annuelle,Novembre,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2009
Riddim collision,Musique,Annuelle,Novembre,"45.7699284397,4.82922464978",Lyon,Auvergne-Rhône-Alpes,69001,1999
Les petites fugues,Livre,Annuelle,Novembre,"47.2553872249,6.01948696494",Besancon,Bourgogne-Franche-Comté,25000,2002
Rebel escape,Musique,Annuelle,Novembre,"43.5781918597,1.33500697752",Tournefeuille,Occitanie,31170,2016
Download festival,Musique,Annuelle,Mai,"48.6025113399,2.3021623232",Bretigny Sur Orge,Île-de-France,91220,2016
Festival international de la photo animalière et de nature,Arts visuels,Annuelle,Novembre,"48.4874732749,4.78668890124",Montier En Der,Grand Est,52220,1997
Salon du livre de colmar,Livre,Annuelle,Novembre,"48.1099405789,7.38468690323",Colmar,Grand Est,68000,1990
B-side reggae festival,Musique,Annuelle,Mars,"49.0401131567,2.05082123731",Cergy Pontoise,Île-de-France,95000,2009
Holocene,Musique,Annuelle,Fevrier,"45.1821215167,5.72133051752",Grenoble,Auvergne-Rhône-Alpes,38000,2017
Endless project,Musique,Annuelle,Avril,"43.5963814303,1.43167293364",Toulouse,Occitanie,31300,2016
Goutte d'or en fête,Musique,Annuelle,Juin,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,
Dans mon village,Musique,Annuelle,Juin,"43.4808688877,3.21744589266",Magalas,Occitanie,34480,
Salon du livre de pont-leveque,Livre,Annuelle,Septembre,"49.2805619214,0.187666368193",Pont L Eveque,Normandie,14130,2016
Les fanfarfelues,Musique,Annuelle,Aout,"48.1140815063,-1.19370720718",Vitre,Bretagne,35500,2015
Festival du roi arthur,Musique,Annuelle,Aout,"48.044637167,-1.86571618785",Breal Sous Montfort,Bretagne,35310,2010
Festival chopin à nohant,Musique,Annuelle,Juin,"46.6401357121,1.95677952761",Nohant Vic,Centre-Val de Loire,36400,1967
La fete dans la rue a corbie,Théâtre,Annuelle,Juin,"49.9202042489,2.49498506906",Corbie,Hauts-de-France,80800,1993
Fete du travailleur catalan,Musique,Annuelle,Juin,"42.5352193463,3.02429862885",Argeles Sur Mer,Occitanie,66700,1936
Gallésie en fête,Musique,Annuelle,Juin,"48.059933472,-1.99008537755",Monterfil,Bretagne,35160,
Jazz pourpre en perigord,Musique,Annuelle,Mai,"44.8543751872,0.486529423457",Bergerac,Nouvelle-Aquitaine,24100,2004
Bang bang party,Musique,Annuelle,Mai,"49.8472336321,3.27769499462",St Quentin,Hauts-de-France,02100,
100 mil v’ault,Musique,Annuelle,Mai,"50.0925488309,1.44717519345",Ault,Hauts-de-France,80460,
Camilliacus jazz festival,Musique,Annuelle,Juin,"47.2272268469,-0.730188160448",Chemille,Pays de la Loire,49120,
Rencontres musicales de vezelay,Musique,Annuelle,Aout,"47.4524539513,3.71058845441",Vezelay,Bourgogne-Franche-Comté,89450,2000
Les transes cevenoles,Théâtre,Annuelle,Juillet,"43.9885776737,3.73217518553",Sumene,Occitanie,30440,1998
Jazz en place,Musique,Annuelle,Aout,"48.4557709953,-2.04816149693",Dinan,Bretagne,22100,2017
Festival international du film de nancy,Cinéma,Annuelle,Aout,"48.6901995499,6.17588254434",Nancy,Grand Est,54000,1995
Au pré de mon ane,Musique,Annuelle,Aout,"48.9823527638,5.1255521249",Evres,Grand Est,55250,2015
Colomb'in rock,Musique,Annuelle,Aout,"47.6121777534,6.22089003773",Colombe Les Vesoul,Bourgogne-Franche-Comté,70000,2011
Un air de jazz,Musique,Annuelle,Aout,"48.6037155601,-2.24912296088",St Cast Le Guildo,Bretagne,22380,2009
Fest'arts,Théâtre,Annuelle,Aout,"44.9130767869,-0.234709332068",Libourne,Nouvelle-Aquitaine,33500,
Jazz au sommet,Musique,Annuelle,Septembre,"45.3472458116,4.43132626452",St Genest Malifaux,Auvergne-Rhône-Alpes,42660,2007
Climax festival,Musique,Annuelle,Septembre,"44.8572445351,-0.57369678116",Bordeaux,Nouvelle-Aquitaine,33000,2015
Coconut music festival,Musique,Annuelle,Septembre,"45.7422300162,-0.649623035643",Saintes,Nouvelle-Aquitaine,17100,2013
Les toiles dans la ville,Théâtre,Biennale,Septembre,"50.6317183168,3.04783272312",Lille,Hauts-de-France,59160,2011
Festival du cinéma américain de deauville,Cinéma,Annuelle,Septembre,"49.3543800887,0.0744665786308",Deauville,Normandie,14800,1975
Fetes escales a venissieux,Musique,Annuelle,Juillet,"45.7037728826,4.88137668221",Venissieux,Auvergne-Rhône-Alpes,69200,1999
Jazz'titudes,Musique,Annuelle,Mars,"49.5679724897,3.62089561902",Laon,Hauts-de-France,02000,1998
Journées cinématographiques dionysiennes,Cinéma,Annuelle,Fevrier,"48.9295650455,2.3592429975",St Denis,Île-de-France,93200,2001
Beaugrenelle music festival,Musique,Annuelle,Avril,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2019
Ciné-court animé – festival international du court métrage d'animation de roanne,Cinéma,Annuelle,Mars,"46.0449112487,4.0797045647",Roanne,Auvergne-Rhône-Alpes,42300,2010
Jazz a montbrison,Musique,Annuelle,Mars,"45.6008365515,4.0713982073",Montbrison,Auvergne-Rhône-Alpes,42600,2000
Saint-fons jazz festival,Musique,Annuelle,Janvier,"45.7011050588,4.85046367008",St Fons,Auvergne-Rhône-Alpes,69190,1999
Autan de blues,Musique,Annuelle,Janvier,"43.6156511237,2.23787231587",Castres,Occitanie,81100,2008
Chants d'(h)iver,Musique,Annuelle,Janvier,"43.2733185307,3.29725083254",Serignan,Occitanie,34410,2011
Amiens europe,Théâtre,Annuelle,Janvier,"49.9009532186,2.29007445539",Amiens,Hauts-de-France,80000,2019
7 bis chemin de traverse,Musique,Annuelle,Mars,"46.2051520382,5.24602125501",Bourg En Bresse,Auvergne-Rhône-Alpes,01000,2006
Chaulnes metal fest,Musique,Annuelle,Avril,"49.8169359721,2.80153906029",Chaulnes,Hauts-de-France,80320,2003
Festival du premier roman et des littératures contemporaines de laval,Livre,Annuelle,Mai,"48.0608565468,-0.766005687142",Laval,Pays de la Loire,53000,1993
L'paille a sons,Musique,Annuelle,Juin,"48.4471464884,1.50570610616",Chartres,Centre-Val de Loire,28000,2015
Festival d'auvers-sur-oise,Musique,Annuelle,Juin,"49.0803858577,2.15488070885",Auvers Sur Oise,Île-de-France,95430,2010
Festival les musiques,Musique,Annuelle,Mai,"43.2999009436,5.38227869795",Marseille,Provence-Alpes-Côte d'Azur,13001,1988
Family festival,Divers,Annuelle,Mai,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,
Festival de musique ancienne et baroque de saint-michel,Musique,Annuelle,Juin,"49.9259700696,4.15288229364",St Michel,Hauts-de-France,02830,
Normandy metal fest,Musique,Annuelle,Juin,"49.2206099164,1.15340030158",Louviers,Normandie,27400,
Sorbonne music days,Musique,Annuelle,Juin,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,
Maisons laffitte jazz festival,Musique,Annuelle,Juin,"48.9523369002,2.15161594901",Maisons Laffitte,Île-de-France,78600,2006
Festival des voix a moissac,Musique,Annuelle,Juin,"44.1262518079,1.09834758014",Moissac,Occitanie,82200,
Eclat(s) d'été festival des cultures et musiques du monde,Théâtre,Annuelle,Juillet,"44.5798600596,6.06486052138",Gap,Provence-Alpes-Côte d'Azur,05000,2016
Shake la rochelle,Danse,Annuelle,Novembre,"46.1620643972,-1.17465702836",La Rochelle,Nouvelle-Aquitaine,17000,2016
Les sons d'automne a quessoy,Musique,Annuelle,Novembre,"48.4272969207,-2.65707016677",Quessoy,Bretagne,22120,1999
Jazzdor,Musique,Annuelle,Novembre,"48.5712679849,7.76752679517",Strasbourg,Grand Est,67100,1986
Retro c trop,Musique,Annuelle,Juin,"49.6416492977,2.74418919931",Tilloloy,Hauts-de-France,80700,2016
Festival de carcassonne,Musique,Annuelle,Juillet,"43.2093798444,2.34398855385",Carcassonne,Occitanie,11000,2008
Festival de la vézère,Musique,Annuelle,Juillet,"45.1435830664,1.51936836063",Brive La Gaillarde,Nouvelle-Aquitaine,19100,1981
Nice classic live,Musique,Annuelle,Juillet,"43.7119992661,7.23826889465",Nice,Provence-Alpes-Côte d'Azur,06100,2018
Les nuits de saint jacques,Musique,Annuelle,Juillet,"45.0276366659,3.89535229067",Le Puy En Velay,Auvergne-Rhône-Alpes,43000,2015
Cahors blues festival,Musique,Annuelle,Juillet,"44.4507370916,1.44075837848",Cahors,Occitanie,46000,1981
Les eclectiques,Théâtre,Annuelle,Juillet,"50.4895185959,2.94858062937",Carvin,Hauts-de-France,62220,2005
Marseille jazz des cinq continents,Musique,Annuelle,Juillet,"43.2999009436,5.38227869795",Marseille,Provence-Alpes-Côte d'Azur,13001,2000
Celte en gevaudan,Musique,Annuelle,Aout,"44.9482034569,3.53883236387",Saugues,Auvergne-Rhône-Alpes,43170,2007
Durance luberon,Musique,Annuelle,Aout,"43.9352448339,4.84071572505",Avignon,Provence-Alpes-Côte d'Azur,84140,1998
Arcachon en scène,Musique,Annuelle,Juillet,"44.6529002838,-1.17429790933",Arcachon,Nouvelle-Aquitaine,33120,2006
Salon « biographie et histoire »,Livre,Annuelle,Juillet,"43.6675688674,-1.41245896656",Hossegor,Nouvelle-Aquitaine,40150,1999
Pointu festival,Musique,Annuelle,Juillet,"43.086818602,5.82924464931",Six Fours Les Plages,Provence-Alpes-Côte d'Azur,83140,2015
Jazz au phare,Musique,Annuelle,Aout,"46.2363966414,-1.53823691013",St Clement Des Baleines,Nouvelle-Aquitaine,17590,2010
Festival de tarentaise,Musique,Annuelle,Aout,"45.6105383975,6.66721481397",La Cote D'aime,Auvergne-Rhône-Alpes,73210,
Ca jazz a brides,Musique,Annuelle,Juillet,"45.4538077442,6.56840188785",Brides Les Bains,Auvergne-Rhône-Alpes,73570,2012
Plane r fest,Musique,Annuelle,Juillet,"45.7178013267,5.10337456661",Colombier Saugnieu,Auvergne-Rhône-Alpes,69124,2012
Jazz à toute heure,Musique,Annuelle,Mars,"48.5725220079,1.93463847942",St Arnoult En Yvelines,Île-de-France,78730,1999
Festival d’un jour - valence,Cinéma,Annuelle,Mars,"44.9229811667,4.91444013136",Valence,Auvergne-Rhône-Alpes,26000,1995
Festival rochefort pacifique – cinéma des ailleurs,Divers,Annuelle,Mars,"45.9432344536,-0.972356445692",Rochefort,Nouvelle-Aquitaine,17300,2007
Festival international du film de femmes de créteil,Cinéma,Annuelle,Mars,"48.7837401836,2.45463530415",Creteil,Île-de-France,94000,1979
Sulfure festival,Musique,Annuelle,Mars,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2019
Festival international du grand reportage / figra,Cinéma,Annuelle,Mars,"50.7679781717,2.26334881482",St Omer,Hauts-de-France,62500,1994
Festival international jazz a megeve,Musique,Annuelle,Mars,"45.8401573581,6.62348394015",Megeve,Auvergne-Rhône-Alpes,74120,2016
Lounge music festival,Musique,Annuelle,Mars,"46.1542288253,6.66014566051",Les Gets,Auvergne-Rhône-Alpes,74260,2011
Prise de cirq',Théâtre,Annuelle,Mars,"47.3229437965,5.03788805877",Dijon,Bourgogne-Franche-Comté,21000,2009
Mars en baroque,Musique,Annuelle,Fevrier,"43.2999009436,5.38227869795",Marseille,Provence-Alpes-Côte d'Azur,13001,2003
La piposa,Musique,Annuelle,Avril,"50.6532332701,2.79249849805",Sailly Sur La Lys,Hauts-de-France,62840,1985
Les noces felines,Musique,Annuelle,Avril,"49.2514906066,4.0402302322",Reims,Grand Est,51100,2011
Rencontre des jonglages de la courneuve,Théâtre,Annuelle,Avril,"48.9322569546,2.39978064801",La Courneuve,Île-de-France,93120,
Festival de l’oiseau et de la nature d’abbeville,Divers,Annuelle,Avril,"50.1083582944,1.83209170207",Abbeville,Hauts-de-France,80100,1991
Bloody fleury,Livre,Annuelle,Fevrier,"49.1444292345,-0.377619145275",Fleury Sur Orne,Normandie,14123,2016
Maghreb-orient des livres,Livre,Annuelle,Fevrier,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,1995
Festival travelling de rennes,Cinéma,Annuelle,Fevrier,"48.1119791219,-1.68186449144",Rennes,Bretagne,35700,1990
Festival floreal musical,Musique,Annuelle,Avril,"48.1631202656,6.47989286928",Epinal,Grand Est,88000,1984
Festival du rire de cavaillon,Théâtre,Annuelle,Mai,"43.8508361826,5.03606300916",Cavaillon,Provence-Alpes-Côte d'Azur,84300,1991
Musica nigella,Musique,Annuelle,Mai,"50.4141574341,1.58229663833",Berck,Hauts-de-France,62600,
Batojazz (batôjazz),Musique,Annuelle,Septembre,"45.8034782998,5.79654546056",Chanaz,Auvergne-Rhône-Alpes,73310,2015
Tomahawk,Musique,Annuelle,Septembre,"47.9553937645,-3.54781313088",Querrien,Bretagne,29310,2014
Jour & nuit,Musique,Annuelle,Septembre,"45.1821215167,5.72133051752",Grenoble,Auvergne-Rhône-Alpes,38000,2012
Les accroches cœurs,Théâtre,Annuelle,Septembre,"47.476837416,-0.556125995444",Angers,Pays de la Loire,49000,1999
Festival pot'arts,Théâtre,Annuelle,Septembre,"47.6548634844,7.26381080113",Tagolsheim,Grand Est,68720,2002
Festival des granges,Musique,Annuelle,Aout,"48.8425240872,5.04206568758",Laimont,Grand Est,55800,2004
Festival charivari,Théâtre,Annuelle,Septembre,"45.7251184657,3.32304115809",Billom,Auvergne-Rhône-Alpes,63160,2004
Week-end des arts de la rue,Théâtre,Annuelle,Aout,"42.9758668859,0.132640694318",Bagneres De Bigorre,Occitanie,65200,2009
Musiques épicées,Musique,Annuelle,Aout,"45.1823303924,0.136303399419",St Aulaye,Nouvelle-Aquitaine,24410,1995
Festival de la chabriole,Musique,Annuelle,Juillet,"44.8373734527,4.61203758015",St Michel De Chabrillanoux,Auvergne-Rhône-Alpes,07360,1976
De chap à chap,Théâtre,Annuelle,Juillet,"45.461591172,5.95800759236",Chapareillan,Auvergne-Rhône-Alpes,38530,
Vach de rock,Musique,Annuelle,Septembre,"48.846525852,6.24307502417",Jeandelaincourt,Grand Est,54114,2009
Festival de rue de ramonville,Théâtre,Annuelle,Septembre,"43.5441837911,1.47782372823",Ramonville St Agne,Occitanie,31520,1988
Percufolies,Musique,Annuelle,Septembre,"47.0423190397,0.817374235768",Ligueil,Centre-Val de Loire,37240,2007
Blues au château,Musique,Annuelle,Aout,"48.1346308811,-2.66260913976",La Cheze,Bretagne,22210,2005
L'estival,Théâtre,Annuelle,Aout,"44.9076391858,4.42108479359",Le Cheylard,Auvergne-Rhône-Alpes,07160,2018
